2026-04-20 09:55:22.117 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:SYSTEM] [2026-04-20 09:55:22.117] 开始消费 async:queue:deduct 队列，拉取 1 条消息
2026-04-20 09:55:22.470 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:SYSTEM] [2026-04-20 09:55:22.470] 消费 async:queue:deduct 队列完成，成功: 1, 失败(重试): 0, 丢弃: 0
2026-04-20 10:13:35.572 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:SYSTEM] [2026-04-20 10:13:35.572] 开始消费 async:queue:deduct 队列，拉取 1 条消息
2026-04-20 10:13:35.615 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:SYSTEM] [2026-04-20 10:13:35.615] 消费 async:queue:deduct 队列完成，成功: 1, 失败(重试): 0, 丢弃: 0
2026-04-20 11:09:04.025 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:SYSTEM] [2026-04-20 11:09:04.025] 开始消费 async:queue:deduct 队列，拉取 1 条消息
2026-04-20 11:09:04.230 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:ORD20260419005] [2026-04-20 11:09:04.230] 更新幂等记录状态为: 成功
2026-04-20 11:09:04.230 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:SYSTEM] [2026-04-20 11:09:04.230] 消费 async:queue:deduct 队列完成，成功: 1, 失败(重试): 0, 丢弃: 0
2026-04-20 11:37:30.059 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:SYSTEM] [2026-04-20 11:37:30.059] 开始消费 async:queue:deduct 队列，拉取 1 条消息
2026-04-20 11:37:30.219 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:ORD20260419005] [2026-04-20 11:37:30.219] 数据库幂等检查命中，操作已成功过，跳过处理，opType=deduct
2026-04-20 11:37:30.219 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:SYSTEM] [2026-04-20 11:37:30.219] 消费 async:queue:deduct 队列完成，成功: 1, 失败(重试): 0, 丢弃: 0
2026-04-20 11:56:24.946 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:SYSTEM] [2026-04-20 11:56:24.946] 开始消费 async:queue:deduct 队列，拉取 1 条消息
2026-04-20 11:56:25.157 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:ORD20260419005] [2026-04-20 11:56:25.157] 数据库幂等检查命中，操作已成功过，跳过处理，opType=deduct
2026-04-20 11:56:25.158 [scheduling-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.mysql] [BizNo:SYSTEM] [2026-04-20 11:56:25.158] 消费 async:queue:deduct 队列完成，成功: 1, 失败(重试): 0, 丢弃: 0
