2026-04-23 10:05:30.788 [http-nio-0.0.0.0-8080-exec-170] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_178_1] [2026-04-23 10:05:30.788] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-45] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_24_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-11] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_49_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-131] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_130_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-157] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_158_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-31] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_43_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-55] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_64_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-182] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_182_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-86] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_33_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-83] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_99_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-34] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_93_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
